,cluster,silhouette
631,0,0.4772871732711792
632,2,0.051672253757715225
633,2,-0.18733635544776917
635,2,0.517551839351654
639,0,0.5938771963119507
641,1,0.5242757797241211
642,2,0.5397261381149292
643,2,0.5915807485580444
644,1,0.5845460891723633
645,1,0.6303859949111938
646,2,0.5474840998649597
647,2,0.5607261657714844
648,1,0.6186622381210327
649,0,0.07552387565374374
650,1,0.44382354617118835
651,2,0.005259966943413019
652,2,-0.022042861208319664
653,0,0.6442411541938782
655,1,0.6401556730270386
656,1,0.4868609309196472
657,0,0.6126675605773926
658,0,0.6520538926124573
659,0,0.6472173929214478
660,0,0.6181281805038452
662,2,0.5047284960746765
663,1,0.5935113430023193
664,2,0.5422847867012024
665,1,0.5386766195297241
666,0,0.14012515544891357
667,1,0.6022213101387024
668,0,0.5529361367225647
669,2,0.4848615527153015
670,1,0.5246912240982056
671,2,0.5174013376235962
672,2,0.3763883411884308
673,2,0.49286797642707825
674,1,0.5816154479980469
676,1,0.577063798904419
677,1,0.6107341051101685
678,1,0.5771238207817078
679,1,0.5790968537330627
680,2,0.5032802820205688
685,1,0.6170569062232971
686,1,0.6074129343032837
687,1,0.6200435757637024
688,1,0.6336086988449097
689,1,0.5530386567115784
690,1,0.5342867970466614
691,0,0.5162385702133179
692,1,0.5416122078895569
693,2,0.5747461915016174
694,2,0.40830284357070923
695,0,0.09223107993602753
696,2,0.5051475167274475
697,1,0.5612844824790955
699,2,0.5107107758522034
700,2,0.40380561351776123
702,0,0.5298517942428589
703,2,0.5703322887420654
704,0,0.6883158683776855
705,0,0.6830312013626099
706,0,0.06903177499771118
707,2,0.37370985746383667
708,2,0.44146114587783813
709,2,0.5413923263549805
710,2,0.17818737030029297
711,2,0.513725996017456
712,2,0.5017949342727661
713,0,0.6246029138565063
714,1,0.5818185806274414
715,0,0.5704906582832336
716,0,0.6788954734802246
717,1,0.5770929455757141
719,2,0.5657772421836853
720,0,0.6575310826301575
721,2,0.42921337485313416
722,2,0.5566628575325012
723,2,0.5799330472946167
724,1,0.6178961396217346
725,0,0.08090969920158386
727,1,0.5400074124336243
728,2,0.44340431690216064
729,1,0.5330060720443726
731,0,0.5777871012687683
732,0,0.6699619293212891
733,2,0.41502171754837036
734,2,0.12287873029708862
735,0,0.6720209121704102
736,0,0.6720181107521057
737,0,0.6719432473182678
740,0,0.6402121186256409
741,2,0.5735883712768555
742,1,0.5864018797874451
743,2,0.14716219902038574
744,0,0.714240550994873
745,1,0.6291701197624207
746,1,0.5213408470153809
747,1,0.5505949854850769
748,1,0.6631504893302917
749,1,0.6292212605476379
750,1,0.5306113362312317
751,1,0.5149686932563782
752,0,0.7014308571815491
753,1,0.5553039908409119
754,0,0.5965665578842163
755,0,0.0869116559624672
756,1,0.4233466684818268
757,2,0.5225200653076172
758,0,0.5188766121864319
759,0,0.49915486574172974
760,0,0.49811655282974243
761,0,0.5224108099937439
762,1,0.5694841146469116
763,1,0.5363816022872925
767,0,0.6087853908538818
768,0,0.652866780757904
769,2,0.42302700877189636
770,2,0.4062274694442749
771,2,0.5491570830345154
772,2,0.4296702742576599
773,2,0.5050977468490601
774,1,0.5009673833847046
775,2,0.445461243391037
776,2,0.48921912908554077
777,2,0.024696942418813705
778,2,0.4867628514766693
780,2,0.5477531552314758
783,2,0.48373088240623474
784,2,0.5181089043617249
785,2,-0.019083885475993156
786,0,0.6413936614990234
787,2,0.44477537274360657
788,1,0.6417274475097656
789,2,0.4121979773044586
790,0,0.6139127612113953
792,2,0.5197475552558899
793,1,0.5202406644821167
794,0,0.6621807813644409
796,2,-0.06273352354764938
798,2,0.06071360409259796
799,2,0.40718165040016174
800,0,0.5990555286407471
801,0,0.6377674341201782
802,0,0.6445547342300415
803,0,0.6443150639533997
804,0,0.6082031726837158
805,0,0.49809375405311584
806,0,0.5527995824813843
807,1,0.5217961072921753
808,2,0.09043771028518677
810,2,0.4481483995914459
811,1,0.677254855632782
812,2,0.5834406018257141
813,2,0.39318662881851196
814,2,0.5257985591888428
815,1,0.5268091559410095
818,1,0.6563771963119507
819,0,0.6088542342185974
820,1,0.5377985239028931
821,1,0.5378237962722778
822,2,-0.18699239194393158
823,1,0.640073299407959
824,2,0.4069572389125824
825,2,0.5903720259666443
826,2,0.5870466828346252
827,0,0.5677019953727722
828,0,0.6255845427513123
829,2,0.4152279198169708
830,2,0.3727077543735504
831,0,0.7123793363571167
832,0,0.6832570433616638
833,0,0.6280319690704346
834,2,0.5289912223815918
835,2,0.5828002095222473
836,2,0.5327447056770325
837,2,0.056378159672021866
838,2,0.5454546809196472
839,2,0.41374653577804565
841,2,0.5916760563850403
842,2,0.5758758783340454
843,1,0.6818817257881165
845,1,0.5801157355308533
846,1,0.5249328017234802
848,2,0.402550607919693
849,0,0.6922317743301392
850,0,0.6925625205039978
851,0,0.6212986707687378
852,0,0.6709422469139099
853,0,0.6708437204360962
855,0,0.6701548099517822
856,0,0.6702953577041626
857,0,0.6565490365028381
858,0,0.6514971852302551
859,1,0.6276503801345825
860,1,0.6410914659500122
861,2,0.5645095109939575
862,0,0.684178352355957
863,1,0.5090134739875793
864,2,0.5214587450027466
865,1,0.6822376251220703
866,2,0.5385391116142273
867,2,0.4780752658843994
868,1,0.47834765911102295
869,1,0.5510819554328918
870,1,0.592661440372467
871,1,0.5334864854812622
874,0,0.6510424613952637
875,0,0.5852314829826355
876,1,0.6242584586143494
877,1,0.6450998187065125
878,2,0.5041286945343018
879,2,0.5005574226379395
880,0,0.6694185137748718
881,0,0.1335967481136322
882,1,0.6249593496322632
883,0,0.6459841132164001
884,1,0.6238894462585449
885,1,0.6638750433921814
886,1,0.5934677720069885
887,2,0.5212380290031433
888,0,0.6543850302696228
889,0,0.6399548053741455
890,0,0.6286478042602539
891,0,0.08218713849782944
893,2,0.21174028515815735
894,1,0.6101348400115967
895,2,0.5909607410430908
897,2,0.5703333616256714
898,1,0.6395952701568604
899,2,0.48132023215293884
900,1,0.6224995255470276
901,2,0.5404313206672668
902,2,0.5416917204856873
903,0,0.6976038813591003
904,0,0.053933363407850266
905,1,0.6364068388938904
906,1,0.664287269115448
907,1,0.6652059555053711
908,2,0.4248824119567871
909,2,0.42360973358154297
910,2,0.007391015533357859
911,2,0.5304480791091919
912,0,0.11471901834011078
913,2,0.3821481168270111
915,2,0.31907153129577637
916,0,0.6520436406135559
917,1,0.6312819123268127
918,2,0.07142598927021027
920,0,0.6030517220497131
921,0,0.6039626598358154
923,2,0.4693925082683563
924,2,0.45692846179008484
925,0,0.5737446546554565
926,0,0.5371039509773254
927,1,0.5254743695259094
928,2,0.5382069945335388
929,2,0.5446166396141052
930,2,0.5038862228393555
931,2,0.5667802095413208
932,2,0.5661928653717041
933,1,0.6830675601959229
934,1,0.6697347164154053
935,1,0.680404007434845
936,1,0.6818071007728577
938,1,0.5386143326759338
939,0,0.6932590007781982
941,2,0.59184730052948
942,0,0.5697172284126282
943,1,0.6316215991973877
944,2,0.4873729944229126
945,2,0.3707987368106842
948,2,0.4095472991466522
949,1,0.595749020576477
950,2,0.44994989037513733
954,0,0.648006021976471
955,2,0.4961436092853546
956,2,0.5474557280540466
957,1,0.6475988626480103
958,1,0.5194929242134094
959,1,0.6775112748146057
960,1,0.6275509595870972
961,1,0.584253191947937
962,1,0.5960091948509216
963,0,0.6822925209999084
964,0,0.6740147471427917
966,2,0.5044902563095093
967,2,0.23796212673187256
968,2,0.5902884602546692
969,2,0.06672794371843338
970,2,0.5820751786231995
971,2,0.48651620745658875
972,2,0.4908592104911804
974,1,0.6345969438552856
975,1,0.6274507641792297
976,1,0.6492857933044434
977,2,0.590694785118103
978,2,0.4852299988269806
979,1,0.6822043657302856
980,1,0.6393357515335083
981,0,0.6606714725494385
982,0,0.6647965908050537
983,2,0.42778944969177246
984,1,0.5551055073738098
985,2,-0.06565319001674652
986,1,0.5971176028251648
987,1,0.5218065977096558
988,2,0.3997984826564789
989,1,0.6055201888084412
990,2,0.5187599658966064
991,0,0.4718269407749176
992,0,0.5406118631362915
993,0,0.48540452122688293
994,2,0.4872284233570099
995,2,0.10126476734876633
997,0,0.5353789925575256
998,2,0.5342060923576355
1000,1,0.6517025828361511
1001,1,0.4976816177368164
1002,1,0.5928423404693604
1003,1,0.5777068138122559
1004,2,0.45993688702583313
1005,2,0.434393048286438
1006,1,0.6456074714660645
1007,1,0.6250479817390442
1008,2,0.4796815514564514
1009,1,0.5194762349128723
1010,1,0.5187544822692871
1011,1,0.5185487270355225
1012,1,0.5308597087860107
1013,2,0.05423028767108917
1014,1,0.6343690752983093
1015,1,0.6797744631767273
1016,2,0.3899785280227661
1017,2,0.5922348499298096
1018,2,0.5113152265548706
1019,2,0.5170116424560547
1020,0,0.6708332896232605
1022,1,0.682395339012146
1023,1,0.6830708980560303
1024,2,0.5812882781028748
1025,1,0.6656612753868103
1026,2,0.16895771026611328
1027,1,0.5008667707443237
1028,1,0.6695034503936768
1029,2,0.4564094543457031
1030,1,0.6296762228012085
1031,1,0.6829468011856079
1032,2,0.18005087971687317
1033,2,0.17994581162929535
1034,2,0.1372220814228058
1035,2,0.3474092185497284
1036,2,0.012540674768388271
1037,2,0.1322641521692276
1038,2,0.5447571873664856
1039,2,0.46199122071266174
1040,0,0.6450295448303223
1041,0,0.6680623292922974
1042,0,0.6401913166046143
1043,2,0.5864200592041016
1044,0,0.6333243250846863
1045,0,0.6854713559150696
1046,0,0.6856527924537659
1047,2,0.4562018811702728
1048,1,0.6681963205337524
1049,1,0.6662895083427429
1052,1,0.5406787991523743
1053,0,0.5384618043899536
1054,2,0.1716403216123581
1055,1,0.5312836170196533
1056,2,0.5253341197967529
1057,2,0.26622575521469116
1058,1,0.53596431016922
1059,1,0.6671112775802612
1060,0,0.6313318014144897
1061,1,0.5966430902481079
1062,0,0.6554725170135498
1063,0,0.6933820247650146
1064,0,0.6593163013458252
1065,0,0.6589816808700562
1066,1,0.43862590193748474
1067,2,0.5124402046203613
1068,1,0.5320150256156921
1069,0,0.7152178287506104
1070,2,0.5366295576095581
1071,2,0.04158587008714676
1072,2,0.08037588745355606
1073,0,0.5847547054290771
1074,0,0.07476096600294113
1075,2,0.5111950635910034
1076,2,0.5878266096115112
1077,0,0.6458728313446045
1078,0,0.6218341588973999
1079,0,0.6012513637542725
1080,2,0.563596785068512
1081,1,0.6653964519500732
1082,1,0.6682273745536804
1083,2,0.060908589512109756
1084,0,0.6486074924468994
1085,0,0.6751998066902161
1087,2,0.5434283018112183
1088,2,0.5507584810256958
1089,2,0.5797831416130066
1090,2,0.38331368565559387
1091,0,0.5212149024009705
1092,0,0.4961782395839691
1093,0,0.4774441421031952
1094,1,0.47821301221847534
1095,1,0.4879911541938782
1096,1,0.5045605301856995
1097,0,0.4527401030063629
1098,0,0.6455457210540771
1099,0,0.6482802033424377
1100,1,0.6259543299674988
1102,0,0.6371591091156006
1103,2,0.4257845878601074
